42.3631 -71.065, all phase plumbing
61.9061 -147.302, mendeltna community chapel
62.0491 -146.542, mendeltna creek lodge
62.8781 -143.677, mentasta lodge
62.7181 -143.967, midway service
58.4211 -135.747, mills construction & supply
61.9271 -145.889, moose horn rv park
61.3731 -143.356, morrison construction
62.7911 -143.771, mountain solar electric
62.1081 -145.475, mr clean-up janitorial
58.4981 -136.104, mt fairweather golf course
62.5651 -144.668, mt sanford tribal consortium
62.9371 -143.702, mt sanford tribal consortium s
62.1091 -145.564, napa auto parts
58.4541 -135.882, national park svc
62.1851 -145.452, native village of tazlina
62.1081 -145.475, native village-tazlina health
61.9271 -145.889, natural resources dept
61.9271 -145.889, natural resources dept
62.0971 -146.192, new caribou restaurant
62.1071 -145.475, north star fireworks
64.7335 -147.276, loving learning daycare
64.7524 -147.352, loyal order of moose
64.8199 -147.405, lynch's drywall
64.7062 -147.142, mama c's moose creek kitchen
64.7559 -147.355, mambo grill
64.7787 -147.482, mappa inc
64.7542 -147.354, peter marshall md
64.7494 -147.35, masonic lodge
64.7852 -147.392, master's touch mfg
64.7751 -147.373, matco tools corp
64.7891 -147.401, mavencamp contracting
64.7572 -147.352, mc donald's
64.817 -147.568, mc peak's badger store
64.7751 -147.373, meat plow mechanical
64.7509 -147.355, megan manor apartments
64.7591 -147.338, mei
64.7615 -147.295, merriman construction inc
64.7751 -147.373, midnight sun charters
64.8134 -147.433, midstate equipment
64.7801 -147.49, midway auto
64.7641 -147.406, mighty auto parts
64.75 -147.293, mike's garage
64.7391 -147.262, miller's dog grooming
64.746 -147.334, miranda electric inc
64.7604 -147.351, mocha moose express
64.7569 -147.36, mom's & pop's
64.7147 -147.164, moose creek apartments
64.7093 -147.155, moose creek baptist church
64.7177 -147.192, moose creek general store
64.7086 -147.143, moose creek lodge
64.7751 -147.373, mountain trucking
64.7568 -147.348, mt mc kinley bank
64.7751 -147.373, much with pride
64.7571 -147.353, n p's logos
61.5531 -149.651, micro specialties
61.5817 -149.486, microfilm management systems
61.5714 -149.33, mid valley christian ctr
61.6091 -149.77, mid-valley copy & supply ctr
61.5765 -149.407, mid-valley tabs
61.5807 -149.429, midas auto svc experts
61.6001 -149.44, midnight sun computer svc
61.7321 -150.12, midnight sun excavating
61.5824 -149.634, midnight sun family learning
61.5743 -149.405, midnight sun treasures
61.6606 -149.401, mielke concrete
61.5786 -149.449, mike carson realty inc
61.5534 -149.523, mike rager custom installation
61.5621 -149.671, mikey's auto repair & towing
61.605 -149.336, mikie's payroll & bookkeeping
61.5811 -149.45, mile 49 cafe
61.6131 -149.266, miller's ice cream express
61.6531 -149.903, miller's riverboat svc
61.6141 -149.457, john a miller phd
61.5751 -149.359, miracle-ear
61.6141 -149.457, mission hills christian
61.6141 -149.457, missy's alaskan gifts
61.5549 -149.506, mjm svc
61.569 -149.607, mkc construction
61.7321 -150.12, mls engineering
61.5822 -149.457, mocha moose coffee co
61.5819 -149.44, mocha moose drive thru
61.5822 -149.457, modifications hair & nail sln
61.5729 -149.389, mony group/mony life insurance
61.5801 -149.461, moonlight electric
61.5811 -149.631, moonrise enterprises
61.6141 -149.457, morgan's auto repair
61.582 -149.441, ron morgan cpa
61.5791 -149.485, morris images
61.5531 -149.651, mothers against drunk driving
61.6141 -149.457, motor room
61.1688 -149.869, horace mann insurance co
61.1936 -149.845, horizon dream technologies
61.2362 -149.886, horizon lines of alaska
61.1323 -149.844, horizon property management
61.2148 -149.896, horizons cafe & catering
61.2143 -149.907, horizons unlimited for elders
61.2122 -149.867, horn doctor
61.2154 -149.905, hosie frost large & mc arthur
61.1571 -149.883, hospice of anchorage
61.1666 -149.866, hospitality resources & cncpts
61.2154 -149.898, hostelling international anchr
61.1201 -149.89, hot bikes
61.1955 -149.893, hot heads
61.1951 -149.909, hot licks homemade ice cream
61.2177 -149.734, hot nails
61.1045 -149.859, hot rocks heating paks
61.1868 -149.923, hot rods
61.2174 -149.888, hot topic store
61.1636 -149.843, hot wire electric inc
61.1837 -149.776, hotel hookbill
61.2177 -149.734, hotshots billiards
61.2031 -149.749, house doctors handyman svc
61.1028 -149.828, house master of america
61.2161 -149.876, house of class
61.1373 -149.864, house of critters
61.2244 -149.804, house of deliverance
61.1901 -149.892, house of elegance
61.1901 -149.892, house of interiors
61.1811 -149.897, house of prayer
61.1932 -149.914, house of prayer for all
61.1607 -149.897, house surgeons of alaska
61.1901 -149.892, house wreckin'
61.1991 -149.731, housekeeping by karen
61.1955 -149.893, houston & houston
60.9301 -161.163, guskimo enterprises
60.9301 -161.163, hageland aviation svc
60.7896 -161.759, hair cuts etc
60.7891 -161.747, hoffman fuel svc
60.9301 -161.163, hoffman langlie inc
60.7897 -161.779, hot bread multimedia
60.7937 -161.756, husky electric inc
60.7901 -161.765, i d variety
60.9301 -161.163, ida's perms & cuts
60.789 -161.752, immaculate conception catholic
60.9301 -161.163, inland aviation
60.9301 -161.163, invitations etc
60.7921 -161.763, involved parents pre-school
60.9301 -161.163, j & d carpet & upholstery
60.7933 -161.764, j & t svc
60.9361 -164.638, j b crow & sons
60.9301 -161.163, jeffwood construction inc
60.9301 -161.163, jesuit volunteer corp
60.9301 -161.163, jimmy's maintenance & rpr
60.9301 -161.163, john guinn svc
60.7909 -161.77, judy's beauty salon
60.9301 -161.163, jury information
60.7881 -161.738, juvenile probation
60.7871 -161.773, kagista janitorial svc
60.9301 -161.163, kay law office
60.7913 -161.766, key law office
60.9301 -161.163, kilbuck elementary school
60.9301 -161.163, knik construction
60.9301 -161.163, korthuis leveling svc
60.9301 -161.163, korthuis sand & gravel
60.7927 -161.777, kusko cab
60.7992 -161.775, kusko drywall
60.7848 -161.803, kuskokwim 300 headquarters
60.787 -161.768, kuskokwim campus-uaf
60.7891 -161.747, kuskokwim commercial supply
60.7881 -161.739, kuskokwim consortium library
60.9301 -161.163, kuskokwim lighterage & trckng
60.9301 -161.163, kuskokwim pilots assoc
60.9301 -161.163, kuskokwim wilderness adventure
60.9301 -161.163, kuskokwin janitorial inc
60.8002 -161.784, kykd
62.7141 -143.985, northwind enterprises
61.9271 -145.889, o & s construction
62.1071 -145.528, office management svc
62.1071 -145.521, park's place supermarket
58.4301 -135.751, peps packing
62.2851 -146.575, point lodge
62.116 -145.524, portraits by paul
61.9051 -147.303, prince william sound comm clg
62.1091 -145.563, ptarmigan services
62.0971 -146.192, public health nurse
62.1071 -145.475, public safety dept
61.9271 -145.889, queenie's alaskan gifts
62.0971 -146.192, queenie's gifts
62.6291 -143.411, ram river outfitters
62.0951 -145.985, ranch house lodge
62.0971 -146.192, raving artist designs
62.1071 -145.475, ready care inc
62.1851 -145.452, recorder's office
62.1851 -145.452, right hand consulting & ents
62.7141 -143.985, river wrangellers
62.7141 -143.985, riverview bed & breakfast
61.9271 -145.889, road information
62.0971 -146.192, robins creations
58.4981 -136.104, rock n wood enterprises
62.0971 -146.192, rose's ivory & native crafts
58.4121 -135.727, salmon river electric
58.4981 -136.104, sea otter kayak glacier bay
58.4981 -136.104, seawolf wilderness adventures
62.1071 -145.521, send international-alaska
62.0971 -146.192, service oil & gas inc
62.1071 -145.521, sled central
61.9061 -147.301, slide mt cabins
58.4121 -135.74, smokehose gallery
62.1851 -145.452, sonosky chambers & sachse
62.2711 -145.374, sourdough lodge
58.4981 -136.104, southeast air
64.7511 -147.329, napa inc auto & truck parts
64.7488 -147.24, natures pure products
64.83 -147.509, john r nelson cpa
64.7751 -147.373, new frontier contracting
64.7751 -147.373, new frontier homes
64.8056 -147.406, new hope meth presbyterian chr
64.7604 -147.351, new life ministries
59.4571 -157.321, new stuyahok boys & girls club
59.4571 -157.321, new stuyahok city council
59.4511 -157.316, new stuyahok clinic
59.4571 -157.321, new stuyahok village council
64.8214 -147.51, no-burn distributors of alaska
64.7641 -147.347, north pole academy
64.7695 -147.349, north pole archery supply
64.7504 -147.341, north pole assembly of god chr
64.7712 -147.376, north pole bible baptist chr
64.7494 -147.351, north pole branch library
64.7548 -147.33, north pole cabins
64.7604 -147.351, north pole chiropractic clinic
64.7751 -147.373, north pole christian ctr
64.7398 -147.289, north pole christian school
64.7333 -147.286, north pole church of god
64.7549 -147.351, north pole city hall
64.8198 -147.545, north pole coffee roasting co
64.7462 -147.316, north pole community chamber
64.7571 -147.353, north pole computer
64.7751 -147.373, north pole electronics inc
64.7532 -147.35, north pole elementary school
64.7564 -147.346, north pole espresso drive thru
64.7549 -147.351, north pole fire dept
64.7751 -147.373, north pole grange
64.8348 -147.511, north pole graphics & printing
64.7482 -147.362, north pole high school
64.7751 -147.373, north pole kngdm hall jehovahs
61.5531 -149.651, motorworks inc
61.5815 -149.475, mount view auto supply-wasilla
61.6141 -149.457, mountain glass & mirror
61.5833 -149.447, mouse house
61.5825 -149.432, mr lube
61.611 -149.36, msbsd teeland middle schl
61.5811 -149.433, mta wireless
61.5821 -149.45, mudbusters carwash co
61.5769 -149.413, mudbusters carwash co
61.5789 -149.442, mudbusters carwash co
61.582 -149.456, mug-shot saloon
61.6141 -149.457, craig mullet dds
61.5829 -149.449, munford real estate
61.6531 -149.903, murphy's excavating
61.5531 -149.651, murray's excavating & equip
61.5811 -149.45, museum of alaska trans & ind
61.4681 -149.735, mush knik networking
61.5871 -149.424, mydoktor's pharmacy
61.6141 -149.457, na-narcotics anonyomous
61.6141 -149.457, nails plus
61.6521 -149.92, nancy lake resort
61.5825 -149.431, napa auto parts
61.7321 -150.12, nase health insurance
61.5848 -149.327, national bankcard svc
61.6141 -149.457, national organization-women
61.6141 -149.457, national scouting report of ak
61.5887 -149.407, natural resource conservation
61.5822 -149.458, natural resource conservation
61.6871 -150.027, natural resources dept
61.5811 -149.45, nechesta general
61.5844 -149.442, neighbor to neighbor health
61.5531 -149.651, neil lake trading post
61.5839 -149.392, neil's lock & safe
61.5822 -149.463, nenana city school district
61.5876 -149.48, new life covenant church
61.1855 -149.887, houston contracting co
61.1521 -149.919, houston corporation
61.2292 -149.833, houston painting co inc
61.2221 -149.733, how how chinese restaurant
61.2193 -149.846, how you bean
61.1805 -149.89, howard & wing
61.2171 -149.9, howard's keep
61.1053 -149.773, howatt painting
61.1201 -149.89, howe communications
61.2031 -149.749, howe odyssey
61.1811 -149.73, david howe dvm
61.2099 -149.803, mark o hrogovic od
61.1541 -149.958, hubert's tax svc
61.1771 -149.97, hudson news
61.1541 -149.958, dave s huegal
61.1098 -149.807, huffman elementary
61.1091 -149.862, huffman family dentistry
61.1105 -149.861, huffman music ctr
61.181 -149.751, hughes & assoc inc
61.1843 -149.889, hughes supply
61.2154 -149.892, hughes thorsness powell
61.2154 -149.892, hughes thorsness powell huddle
61.2125 -149.894, glenn hughton
61.226 -149.795, hula hands restaurant
61.1923 -149.886, hulen investments
61.1968 -149.879, hull & cargo surveyors inc
61.1301 -149.875, hultquist construction inc
61.2053 -149.808, human relations ctr
61.1541 -149.958, human resource umbrella
61.2154 -149.892, human resources dept
61.2144 -149.884, human rights commission
61.2161 -149.876, humberto auto repair
61.1981 -149.887, hummel's florist
61.2178 -149.83, hummer of alaska
61.2164 -149.894, humpy's great alaskan alehouse
60.787 -161.772, kyuk
60.7901 -161.775, lake view apartments
60.7906 -161.763, learning resource ctr
60.7913 -161.766, legislative information ofc
60.9301 -161.163, lighthouse haven
60.9301 -161.163, lions' club
60.7913 -161.758, lisa's party depot
60.7906 -161.76, long house bethel inn
60.9301 -161.163, lower kuskokowim economic dev
60.9301 -161.163, lucy's cache
60.7996 -161.784, lulu heron congregate home
60.7909 -161.757, lumber yard
60.7916 -161.769, lumni's auto
60.4761 -164.704, lynden air cargo
60.7881 -161.747, malone home office
60.9301 -161.163, mc clintock land asst inc
60.792 -161.767, midnight express way/thai 2 go
60.9301 -161.163, mikelnguut elitnaurviat school
60.9301 -161.163, military & veterans affairs
60.7899 -161.763, moravian bible seminary
60.7896 -161.764, moravian book store
60.7896 -161.764, moravian church
60.9301 -161.163, motor vehicle dept
60.9301 -161.163, mr taxman
60.7904 -161.746, muns trucking & plowing
60.7909 -161.758, napa auto parts
60.9301 -161.163, napaskiak headstart
60.9301 -161.163, napimute traditional council
60.7911 -161.759, national guard
60.7911 -161.759, national guard
60.9301 -161.163, national weather svc
60.9301 -161.163, native american alliance fndtn
60.9301 -161.163, nels & sons tunt fish camp
60.7913 -161.758, nicholson's auto inc
60.9301 -161.163, nili sundown photoarts
60.4761 -164.704, northern air cargo
60.9301 -161.163, northern lights water products
60.7891 -161.747, northstar gas
60.9301 -161.163, northweb marine industries
60.9301 -161.163, nunaniq & co
60.9301 -161.163, o b office
62.1071 -145.535, sparks general store
58.4101 -135.764, spirit walker expeditions
58.4238 -135.727, spruce tip lodge
61.5181 -144.178, st elias alpine guides
62.1071 -145.475, state trooper jail
61.9271 -145.889, survey alaska ltd
62.1071 -145.475, swan dilling
61.4021 -143.085, swift creek cabins
58.4981 -136.104, taku real estate gustavus
62.1081 -145.53, talyat services
61.9271 -145.889, tangle lakes lodge
62.0551 -146.479, tazlina glacier lodge
62.1071 -145.475, tazlina river trading post
62.1851 -145.452, teze lende treks & adventure
58.4981 -136.104, tlc taxi
62.0991 -146.083, tolsona community corp
62.0991 -146.083, tolsona lake resort
62.0951 -145.985, tolsona wilderness campground
58.4341 -135.662, tongass telecommunications
62.1091 -145.563, tonsina motor sports
62.1071 -145.475, trailside grill
62.1081 -145.475, transportation dept
61.9881 -146.942, transportation dept
62.2701 -145.378, transportation dept
61.9271 -145.889, transportation dept
58.4981 -136.104, transportation dept
61.9271 -145.889, us commerce dept
61.9271 -145.889, us faa
62.0971 -146.192, us interior dept
61.9271 -145.889, us transportation dept
62.1851 -145.452, water's edge cabins
62.0971 -146.192, wells fargo bank
58.4981 -136.104, whale song lodge
58.4981 -136.104, whisper marine charters
62.0191 -145.371, wild west klutina lodge
58.4981 -136.104, wings of alaska
64.7519 -147.352, north pole laundry & cleaners
64.7604 -147.351, north pole martial arts
64.8321 -147.511, north pole martial arts
64.7477 -147.344, north pole middle school
64.7557 -147.309, north pole missionary chapel
64.7542 -147.354, north pole optical
64.754 -147.354, north pole physical therapy
64.7535 -147.353, north pole pizza depot
64.7549 -147.351, north pole police dept
